name,industry,sub_industry,country,founded_date,closed_date,lifespan_days,total_funding_usd,funding_rounds,death_cause,death_cause_details,stage_at_death,number_of_employees,tags
StackMob,Backend,Mobile Backend,USA,2011-01-01,2014-02-01,1095,80000000,3,Acquisition,"Acquired by PayPal",Series B,100,"backend,mobile,PaaS"
Parse,Backend,Mobile Backend,USA,2011-01-01,2017-01-01,2190,55000000,2,Acquisition,"Acquired by Facebook, then shut down",Series A,45,"backend,mobile,Facebook"
Host Graphite,SaaS,Monitoring,Canada,2008-01-01,2015-04-01,2650,15000000,1,Acquisition,"Acquired by Datadog",Series A,30,"monitoring,SaaS,devops"
Circonus,SaaS,Monitoring,USA,2008-01-01,2019-06-01,4170,35000000,3,Acquisition,"Acquired by LogicMonitor",Series B,80,"monitoring,SaaS,metrics"
Vizix,SaaS,Data Visualization,Israel,2012-01-01,2018-09-01,2450,25000000,2,Cash Flow Problems,"Could not compete with Tableau",Series A,60,"visualization,data,BI"
Bime,SaaS,Business Intelligence,France,2009-01-01,2017-05-01,3050,12000000,2,Acquisition,"Acquired by Zendesk",Series A,45,"BI,SaaS,analytics"
Placed,SaaS,Location Analytics,USA,2011-01-01,2019-08-01,3130,45000000,3,Cash Flow Problems,"Privacy concerns affected growth",Series B,120,"analytics,location,adtech"
Pixie,DevOps,Configuration Management,USA,2013-01-01,2020-06-01,2700,30000000,2,Acquisition,"Acquired by Google",Series B,70,"devops,kubernetes,cloud-natives"
Origa,SaaS,API Management,Norway,2012-01-01,2019-12-01,2920,22000000,2,Cash Flow Problems,"Could not scale enterprise sales",Series B,65,"API,management,SaaS"
3scale,API Management,API Platform,Spain,2009-01-01,2016-06-01,2700,50000000,4,Acquisition,"Acquired by Red Hat",Series B,100,"API,management,open-source"
Streamly,Media,Video Streaming,USA,2013-01-01,2018-05-01,1920,35000000,3,Cash Flow Problems,"Content costs too high",Series A,80,"streaming,video,media"
Curiosity,Media,Content Discovery,USA,2012-01-01,2017-04-01,1880,18000000,2,Market Fit Issues,"Advertising model failed",Seed,45,"media,discovery,content"
Perch,Marketplace,Furniture,USA,2015-01-01,2019-12-01,1825,75000000,3,Cash Flow Problems,"Inventory management challenges",Series A,120,"marketplace,furniture,ecommerce"
Cratejoy,E-commerce,Subscription,USA,2012-01-01,2020-03-01,2960,135000000,6,Cash Flow Problems,"Subscription fatigue",Series C,350,"ecommerce,subscription,Saas"
Manpack,Logistics,Last Mile,UK,2014-01-01,2019-08-01,2130,12000000,2,Cash Flow Problems,"High delivery costs",Seed,30,"logistics,delivery,ecommerce"
Zeit,Developer Tools,Cloud Platform,Germany,2012-01-01,2020-10-01,3200,15000000,3,Acquisition,"Acquired by Vercel",Seed,45,"developer-tools,cloud,platform"
Graphcool,Developer Tools,GraphQL Backend,Germany,2015-01-01,2019-05-01,1600,8000000,2,Acquisition,"Acquired by Prisma",Seed,25,"developer-tools,GraphQL,backend"
Bitnami,Developer Tools,Cloud Images,Spain,2003-01-01,2017-09-01,5355,25000000,3,Acquisition,"Acquired by VMware",Series A,60,"developer-tools,cloud,open-source"
Semaphore,Developer Tools,CI/CD,UK,2012-01-01,2021-06-01,3420,10000000,2,Market Fit Issues,"Could not compete with GitHub Actions",Seed,40,"developer-tools,CI/CD,SaaS"
